,id,title,thumbnail.alt_text,date_start,date_end,date_display,artist_display,place_of_origin,dimensions,medium_display,credit_line,department_title,artist_title,classification_title
0,8969,Beggar with Oysters (Philosopher),A work made of oil on canvas.,1860.0,1870.0,1865/67,"Édouard Manet
French, 1832-1883",France,188.0 × 111.0 cm (74 × 43 5/16 in.),Oil on canvas,Arthur Jerome Eddy Memorial Collection,Painting and Sculpture of Europe,Édouard Manet,painting
1,9614,Haunted House,A work made of oil on canvas.,1930.0,1930.0,1930,"Morris Kantor
American, born Russia (now Belarus), 1896–1974",United States,94.3 × 84.5 cm (37 1/8 × 33 1/4 in.),Oil on canvas,Mr. and Mrs. Frank G. Logan Purchase Prize Fund,Arts of the Americas,Morris Kantor,oil on canvas
2,10550,The Dance,A work made of oil on canvas.,1745.0,1755.0,c. 1750,"Pietro Longhi
Italian, 1702–1785",Italy,24 1/4 × 19 1/2 in.,Oil on canvas,Charles H. and Mary F. S. Worcester Collection,Painting and Sculpture of Europe,Pietro Longhi,oil on canvas
3,11312,Woman Mending,A work made of oil on canvas.,1895.0,1895.0,1895,"Camille Pissarro
French, 1830-1903",France,65.4 × 54.4 cm (25 5/8 × 21 3/8 in.),Oil on canvas,Gift of Mrs. Leigh B. Block,Painting and Sculpture of Europe,Camille Pissarro,oil on canvas
4,16571,"Arrival of the Normandy Train, Gare Saint-Lazare","Loosely painted image of an open-air train station. On the right, a parked train gives off an enormous plumb of white smoke, making the scene look as though it were full of clouds. A huddled mass of barely discernible people crowd around the train on both sides of the tracks. Blue, green, and gray tones dominate.",1877.0,1877.0,1877,"Claude Monet
French, 1840-1926",France,60.3 × 80.2 cm (23 3/4 × 31 1/2 in.),Oil on canvas,Mr. and Mrs. Martin A. Ryerson Collection,Painting and Sculpture of Europe,Claude Monet,painting
5,21678,Foliate Bowl with Stylized Peony Spray,A work made of qingbai ware; porcelain with underglaze carved decoration.,1100.0,1127.0,"Northern Song dynasty (960–1127), 12th century",China,China,H: 7.1 × diam. 20.1 cm (2 13/16 × 8 in.),Qingbai ware; porcelain with underglaze carved decoration,Bequest of Russell Tyson,Arts of Asia,,bowl
6,21727,Thanksgiving,"A chaotic but happy kitchen scene: A light-skinned woman in a pink dress at left bends to take a turkey out of the oven, while another at right forms a pie near a small girl playing with a kitten. Behind them, a woman selects dishware as yet another carries a basket of ingredients. A fifth woman in the back puts on a fancy hat and coat near a pair of babies reaching out from their twin high chair.",1935.0,1935.0,c. 1935,"Doris Lee
American, 1905–1983",United States,71.3 × 101.8 cm (28 1/8 × 40 1/8 in.),Oil on canvas,Mr. and Mrs. Frank G. Logan Purchase Prize Fund,Arts of the Americas,Doris Lee,painting
7,24306,Blue and Green Music,"Abstract painting in predominant shades of blue, green, and black, featuring diagonal bands of color and undulating lines.",1919.0,1921.0,1919/21,"Georgia O'Keeffe
American, 1887–1986",United States,58.4 × 48.3 cm (23 × 19 in.),Oil on canvas,"Alfred Stieglitz Collection, gift of Georgia O'Keeffe",Arts of the Americas,Georgia O'Keeffe,oil on canvas
8,25812,Bullfight,A work made of oil on canvas.,1865.0,1866.0,1865/66,"Édouard Manet
French, 1832-1883",France,48 × 60.4 cm (18 7/8 × 23 3/4 in.),Oil on canvas,Mr. and Mrs. Martin A. Ryerson Collection,Painting and Sculpture of Europe,Édouard Manet,oil on canvas
9,28454,Casket,"A work made of ivory, brass, tempera, and gold leaf.",1100.0,1199.0,12th century,Italian; Sicily,Sicily,9.5 × 15.9 × 9.7 cm (3 3/4 × 6 1/4 × 3 13/16 in.),"Ivory, brass, tempera, and gold leaf",Samuel P. Avery Endowment,Applied Arts of Europe,,european decorative arts
10,28631,"Man Holding a Sheep, Flutist, and Heads","A work made of colored crayons and colored pencils, with smudging, on cream wove paper.",1967.0,1968.0,"January 11–12, 1967","Pablo Picasso
Spanish, 1881-1973",Spain,500 × 650 mm,"Colored crayons and colored pencils, with smudging, on cream wove paper",Purchased with funds provided by the estate of Loula D. Lasker,Prints and Drawings,Pablo Picasso,crayon
11,32541,Angel with the Red,"A work made of cotton, rayon, wool, linen, nylon, metal foil, metal foil laminated in cellulose acetate film, and metal foil laminated in cellulose film, plain weave with discontinuous wefts and supplementary brocading wefts; embroidered in double running, running, and stem stitches.",1961.0,1961.0,1961,"Martta Taipale (Finnish, 1893–1966)
Finland, Helsinki",Finland,155.2 × 47 cm (61 1/8 × 18 1/2 in.),"Cotton, rayon, wool, linen, nylon, metal foil, metal foil laminated in cellulose acetate film, and metal foil laminated in cellulose film, plain weave with discontinuous wefts and supplementary brocading wefts; embroidered in double running, running, and stem stitches",Purchased with funds provided by Mrs. Theodore D. Tieken,Textiles,Martta Taipale,weaving
12,34181,Time Transfixed,"Surrealist painting of miniature train exiting fireplace mid-air, large mirror over mantle.",1938.0,1938.0,1938,"René Magritte
Belgian, 1898–1967",Belgium,147 × 98.7 cm (57 7/8 × 38 7/8 in.),Oil on canvas,Joseph Winterbotham Collection,Modern Art,René Magritte,oil on canvas
13,43751,"E-21: French Boudoir of the Louis XV Period, 1740-60","Ornate interior with cream walls and dark wood floors. At left is a large window with blue curtains; at right is a fireplace with tall mirror. Gilded upholstered furniture and decorative elements, including numerous framed portraits, fill the room. A crystal chandelier hangs from the ceiling.",1932.0,1937.0,c. 1937,"Designed by Narcissa Niblack Thorne
American, 1882-1966",United States,"Interior: 18 1/4 × 24 3/4 × 23 1/8 in.
(45.625 × 61.875 × 57.8125 cm)
Scale: 1 inch = 1 foot","Miniature room, mixed media",Gift of Mrs. James Ward Thorne,Applied Arts of Europe,Narcissa Niblack Thorne,miniature
